country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","27-03-2026 08:00:00",27.103358,93.679645,PM10,29,152,78
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","27-03-2026 08:00:00",27.103358,93.679645,NO2,7,7,7
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","27-03-2026 08:00:00",27.103358,93.679645,NH3,1,1,1
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","27-03-2026 08:00:00",26.071318,91.87488,PM10,68,161,96
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","27-03-2026 08:00:00",26.071318,91.87488,SO2,18,32,31
India,Assam,Guwahati,"IITG, Guwahati - PCBA","27-03-2026 08:00:00",26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"IITG, Guwahati - PCBA","27-03-2026 08:00:00",26.2028636,91.70046436,SO2,31,35,33
India,Assam,Guwahati,"IITG, Guwahati - PCBA","27-03-2026 08:00:00",26.2028636,91.70046436,CO,6,19,15
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","27-03-2026 08:00:00",26.10887,91.589544,NH3,2,13,4
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","27-03-2026 08:00:00",26.10887,91.589544,CO,14,74,25
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","27-03-2026 08:00:00",13.67,79.35,PM10,39,119,75
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","27-03-2026 08:00:00",13.67,79.35,SO2,1,41,12
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","27-03-2026 08:00:00",13.615387,79.409230,PM10,49,61,53
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","27-03-2026 08:00:00",16.536107,80.594233,NO2,13,25,16
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","27-03-2026 08:00:00",16.536107,80.594233,CO,17,44,30
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","27-03-2026 08:00:00",16.509717,80.612222,PM2.5,60,99,78
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","27-03-2026 08:00:00",16.509717,80.612222,PM10,58,94,75
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","27-03-2026 08:00:00",16.509717,80.612222,SO2,13,21,18
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","27-03-2026 08:00:00",16.554731,80.649110,PM10,43,62,47
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","27-03-2026 08:00:00",26.187500,91.744194,CO,20,73,37
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","27-03-2026 08:00:00",26.349082,92.68449,PM2.5,19,56,33
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","27-03-2026 08:00:00",26.349082,92.68449,CO,18,24,23
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","27-03-2026 08:00:00",26.446912,91.439057,PM2.5,22,58,41
